time,P,G(i),H_sun,T2m,WS10m,Int
20200117:0110,0.0,0.0,0.0,8.59,5.1,0.0
20200117:0210,0.0,0.0,0.0,8.26,4.83,0.0
20200117:0310,0.0,0.0,0.0,7.97,4.69,0.0
20200117:0410,0.0,0.0,0.0,7.8,4.41,0.0
20200117:0510,0.0,0.0,0.0,7.6,4.34,0.0
20200117:0610,0.0,0.0,0.0,7.57,4.34,0.0
20200117:0710,0.0,0.0,0.0,8.33,4.83,0.0
20200117:0810,6.6,8.74,3.97,8.97,4.97,0.0
20200117:0910,100.3,37.08,10.43,9.44,4.76,0.0
20200117:1010,146.95,49.14,15.18,9.86,4.69,0.0
20200117:1110,260.65,76.95,17.82,10.2,4.07,0.0
20200117:1210,139.4,47.28,18.1,10.13,4.48,0.0
20200117:1310,366.9,101.42,15.98,9.86,5.24,0.0
20200117:1410,165.8,53.77,11.68,9.58,5.1,0.0
20200117:1510,213.5,65.52,5.57,9.19,4.69,0.0
20200117:1610,0.0,0.0,0.0,8.57,4.41,0.0
20200117:1710,0.0,0.0,0.0,7.83,4.83,0.0
20200117:1810,0.0,0.0,0.0,7.16,5.31,0.0
20200117:1910,0.0,0.0,0.0,6.39,5.1,0.0
20200117:2010,0.0,0.0,0.0,5.69,4.69,0.0
20200117:2110,0.0,0.0,0.0,5.26,4.28,0.0
20200117:2210,0.0,0.0,0.0,4.95,4.0,0.0
20200117:2310,0.0,0.0,0.0,4.5,3.93,0.0
20200118:0010,0.0,0.0,0.0,4.5,4.14,0.0
20200118:0110,0.0,0.0,0.0,4.57,4.21,0.0
20200118:0210,0.0,0.0,0.0,4.5,4.21,0.0
20200118:0310,0.0,0.0,0.0,4.47,4.28,0.0
20200118:0410,0.0,0.0,0.0,4.48,4.28,0.0
20200118:0510,0.0,0.0,0.0,4.38,4.14,0.0
20200118:0610,0.0,0.0,0.0,4.18,4.0,0.0
20200118:0710,0.0,0.0,0.0,3.7,3.86,0.0
20200118:0810,37.95,19.24,4.1,3.82,3.86,0.0
20200118:0910,132.5,44.5,10.59,4.04,3.79,0.0
20200118:1010,154.9,50.06,15.36,4.37,4.55,0.0
20200118:1110,488.85,126.62,18.02,4.79,4.97,0.0
20200118:1210,315.15,88.08,18.31,5.33,4.48,0.0
20200118:1310,1297.6,303.24,16.19,5.61,4.21,0.0
20200118:1410,2126.75,490.18,11.9,5.69,4.07,0.0
20200118:1510,941.6,229.5,5.78,5.25,3.45,0.0
20200118:1610,0.0,0.0,0.0,4.68,3.03,0.0
20200118:1710,0.0,0.0,0.0,4.09,2.76,0.0
20200118:1810,0.0,0.0,0.0,3.38,2.48,0.0
20200118:1910,0.0,0.0,0.0,2.87,2.48,0.0
20200118:2010,0.0,0.0,0.0,2.41,2.34,0.0
20200118:2110,0.0,0.0,0.0,2.01,2.28,0.0
20200118:2210,0.0,0.0,0.0,1.73,2.14,0.0
20200118:2310,0.0,0.0,0.0,1.34,2.21,0.0
20200119:0010,0.0,0.0,0.0,1.33,2.14,0.0
20200119:0110,0.0,0.0,0.0,1.25,2.14,0.0
20200119:0210,0.0,0.0,0.0,1.36,2.14,0.0
20200119:0310,0.0,0.0,0.0,1.51,2.21,0.0
20200119:0410,0.0,0.0,0.0,1.28,2.21,0.0
20200119:0510,0.0,0.0,0.0,1.49,2.14,0.0
20200119:0610,0.0,0.0,0.0,1.69,2.14,0.0
20200119:0710,0.0,0.0,0.0,1.54,1.93,0.0
20200119:0810,47.5,21.86,4.24,1.32,2.0,0.0
20200119:0910,419.45,110.01,10.75,2.23,2.07,0.0
20200119:1010,424.0,111.78,15.54,3.37,2.21,0.0
20200119:1110,2822.0,653.55,18.21,4.69,2.9,0.0
20200119:1210,1423.45,332.04,18.52,5.32,2.97,0.0
20200119:1310,1157.85,273.7,16.41,5.81,3.17,0.0
20200119:1410,142.35,47.28,12.11,5.85,2.9,0.0
